lng,lat,times
118.31,30.71,1
118.31,30.43,3
118.31,29.55,4
118.31,30.37,4
118.31,30.08,1
118.31,30.7,3
118.31,29.52,2
118.31,29.77,4
118.31,29.62,3
118.31,29.09,3
118.31,30.85,4
118.31,29.81,4
118.31,30.57,3
118.31,29.52,4
118.31,29.65,4
118.31,29.62,2
118.32,29.01,2
118.32,29.86,4
118.32,29.89,1
118.32,29.05,4
118.32,29.07,3
118.32,30.38,1
118.32,29.27,1
118.32,30.54,3
118.32,30.61,3
118.32,30.42,1
118.32,30.13,3
118.32,30.58,4
118.32,29.34,4
118.32,30.88,3
118.32,29.31,4
118.32,29.85,4
118.32,30.05,3
118.32,30.02,4
118.32,29.56,2
118.33,30.72,1
118.33,29.26,1
118.33,30.74,4
118.33,29.27,1
118.33,29,3
118.33,29.73,3
118.33,29.72,3
118.33,30.08,1
118.33,29.09,4
118.33,29.18,2
118.33,30.34,3
118.33,30.33,4
118.33,29.83,1
118.33,30.12,4
118.33,29.28,3
118.34,29.27,3
118.34,30.11,4
118.34,30.71,3
118.34,30.67,2
118.34,29.27,4
118.34,30.37,2
118.34,30.9,1
118.34,30.07,1
118.34,29.28,4
118.34,30.67,1
118.34,29.1,4
118.34,30.15,2
118.34,29.48,2
118.35,29.38,3
118.35,30.05,1
118.35,29.99,2
118.35,29.75,3
118.35,29.85,2
118.35,29.71,2
118.35,29.82,4
118.35,29.87,2
118.35,30.14,3
118.35,30.62,3
118.35,29.92,1
118.35,30.34,4
118.35,29.44,2
118.35,30.23,4
118.35,30.09,2
118.35,30.87,1
118.35,29.57,2
118.35,29.57,3
118.35,30.96,1
118.35,30.09,2
118.35,29.99,2
118.35,30.67,2
118.35,29.47,4
118.35,29.72,3
118.35,30.15,2
118.36,30.84,1
118.36,29.65,1
118.36,29.85,1
118.36,30.21,4
118.36,30.81,2
118.36,30.7,1
118.36,30.76,2
118.36,30.92,2
118.36,29.18,3
118.37,30.16,4
118.37,30.5,3
118.37,29.38,4
118.37,29.23,4
118.37,29.55,3
118.37,29.61,4
118.37,30.1,1
118.37,30.35,1
118.37,30.57,3
118.37,30.37,2
118.37,29.14,3
118.37,29.11,1
118.37,30.85,3
118.37,30.57,1
118.37,30.01,2
118.37,29.22,3
118.37,30.44,2
118.38,29.87,4
118.38,29.29,4
118.38,29.12,3
118.38,30.85,2
118.38,29.93,2
118.38,29.07,1
118.38,30.16,3
118.38,29.01,3
118.38,29.87,3
118.38,29.6,1
118.38,29.2,3
118.38,29.65,2
118.38,29.43,2
118.38,30.82,4
118.38,29.06,4
118.39,29.43,4
118.39,30.45,1
118.39,29.74,1
118.39,30.43,4
118.39,29.43,2
118.39,30.58,2
118.39,29.47,4
118.39,29.05,3
118.39,30.89,1
118.39,30.99,1
118.39,29.36,1
118.39,30.29,3
118.39,29.38,3
118.4,30.17,2
118.4,30.83,1
118.4,30.79,1
118.4,29.24,3
118.4,30.2,1
118.4,29.27,3
118.4,30.1,2
118.4,29.03,3
118.4,30.93,3
118.4,29.73,3
118.4,29.37,4
118.4,30.46,3
118.4,30.4,3
118.4,29.62,3
118.4,30.1,2
118.4,29.94,2
118.4,30.69,1
118.4,30.14,4
118.4,30.46,2
118.4,29.93,2
118.4,29.7,3
118.4,29.48,3
118.4,30.16,4
118.4,30.92,2
118.41,30.52,2
118.41,30.53,2
118.41,30.95,2
118.41,30.87,3
118.41,29.02,1
118.41,30.52,3
118.41,29.4,4
118.41,30.8,2
118.41,29.79,1
118.41,30.96,3
118.41,29.65,4
118.41,30.81,3
118.41,30.09,4
118.41,30.27,4
118.41,30.91,1
118.41,30.72,2
118.41,29.75,4
118.41,30.06,2
118.41,30.81,2
118.42,30.97,3
118.42,30.36,4
118.42,29.43,2
118.42,30.16,4
118.42,29.16,3
118.42,30.99,1
118.42,29.47,3
118.42,30.48,1
118.42,29.79,1
118.42,29.91,1
118.42,29.3,2
118.42,29.51,1
118.42,29.47,3
118.43,30.98,2
118.43,29.99,3
118.43,29.89,1
118.43,30.43,3
118.43,29.41,2
118.43,29.13,1
118.43,29.59,3
118.43,30.81,2
118.43,29.1,4
118.43,30.38,1
118.43,30.47,1
118.43,30.95,4
118.43,30.16,4
118.43,30.9,2
118.43,29.61,1
118.43,30.89,2
118.44,30.64,3
118.44,30.9,2
118.44,30.93,3
118.44,29.78,4
118.44,29.82,2
118.44,30.21,4
118.44,29.36,1
118.44,30.3,4
118.44,30.28,1
118.45,29.52,2
118.45,29.19,3
118.45,29.23,1
118.45,30.49,1
118.45,30.68,4
118.45,30.27,3
118.45,29.97,3
118.45,30.48,4
118.45,29.45,2
118.45,30.53,3
118.45,29.22,1
118.45,29.75,1
118.45,30.26,2
118.45,29.12,1
118.45,29.18,3
118.46,29.89,3
118.46,29,1
118.46,30.11,3
118.46,29.33,3
118.46,29.83,2
118.46,29.65,4
118.46,29.99,1
118.46,29,2
118.46,29.92,2
118.46,30.3,3
118.46,29.97,3
118.46,29.7,1
118.46,30.16,3
118.46,30.92,4
118.46,30.93,1
118.46,29.51,1
118.46,30.96,3
118.46,29.16,2
118.47,29.06,3
118.47,30.8,3
118.47,29.08,2
118.47,30.78,1
118.47,29.25,2
118.47,30.32,2
118.47,29.35,2
118.47,29.23,4
118.47,30.91,3
118.47,30.47,2
118.47,30.82,2
118.47,29.33,4
118.47,30.69,3
118.47,29.45,4
118.47,30.4,4
118.47,30.57,3
118.47,30.1,2
118.48,30.81,1
118.48,30.13,1
118.48,29.64,1
118.48,29.95,2
118.48,30.03,1
118.48,29.39,1
118.48,30.83,4
118.48,30.22,2
118.48,29.2,4
118.48,30.6,3
118.49,30.79,3
118.49,30.97,2
118.49,30.18,3
118.49,29.06,2
118.49,29.58,1
118.49,29.01,4
118.49,30.87,4
118.49,30.43,3
